source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,ruwe,astrometric_excess_noise,non_single_star,distance_pc,abs_g_mag,bp_rp_0,umap_1,umap_2,cluster_label
5290948329089361408,118.6977425153657,-60.30541522040062,2.4997018693190465,0.21457028,-4.743268991838582,0.25197247,11.291651485647808,0.28766102,19.271904,21.030197,18.036682,2.993515,403.4139,9.696205,85.48359,1.0661414,0.9893374,0,400.0477065980728,11.261345066598563,2.993515,14.0144005,3.1829345,2
5290949566038905984,119.00832121037324,-60.25745941373735,2.462481009468333,0.014458054,-4.453407566725972,0.017799739,10.923852455980548,0.016511291,9.614169,9.642179,9.535512,0.106666565,4455.9795,2053.0764,3570.5525,0.99229693,0.14982545,0,406.0945023149263,1.5710335704136469,0.106666565,-4.493446,7.533813,2
5290952379240650240,118.6424879407357,-60.238343769892566,2.4422486614152863,0.14605826,-4.066860579699685,0.18035501,10.890567911741917,0.1830318,18.733536,20.389753,17.50154,2.888214,497.87112,15.194255,100.87046,1.0328895,0.5117761,0,409.4587155676845,11.22578519088334,2.521614,12.084421,3.344387,2
5290952486613535104,118.52209920858336,-60.258552002892536,2.3162099866165087,0.2749606,-4.533938467613675,0.32243317,11.437036936327935,0.45674127,19.547373,20.388721,17.752142,2.6365795,112.26288,7.1986246,7.1365952,1.0298278,0.0,0,431.7397842933869,11.371262466963598,2.6365795,11.315067,6.997687,2
5291000349732384000,118.6074394983792,-60.15551264048087,2.4371937855192383,0.023106502,-4.968840533882603,0.028825238,11.36113285353305,0.027419485,15.397243,16.137295,14.557125,1.5801697,574.9421,152.64044,212.16379,0.91857696,0.0,0,410.3079557897988,7.780392867196408,1.3429697,1.160962,-1.1088965,2
5291008935369254016,118.07315729359092,-60.15258561752824,2.2579221182374574,0.3323976,-4.898765560734908,0.37829158,10.510558301009874,0.40841463,19.693424,20.913168,18.394226,2.5189419,271.93494,8.210261,39.26186,1.0196332,0.0,0,442.88507204163614,11.461969014208712,2.5189419,11.718186,8.324982,2
5291010142257453312,118.04976112044676,-60.09497880765477,1.9735130168903696,0.010450456,-3.755987007618972,0.01217568,9.383631810640422,0.013942083,13.429546,13.8001375,12.888871,0.9112663,1837.0946,403.45273,544.2137,1.0001087,0.0,0,506.7106177874026,5.145846328824682,0.7819663,5.293585,10.9412565,-1
5291017387865897984,118.33399244119308,-60.00956024459387,2.373501547920226,0.4774846,-3.5001488813795536,0.6686993,11.631805284286022,0.5889816,20.250498,21.48955,19.004835,2.4847145,167.32825,5.6329885,27.404655,1.0287246,0.0,0,421.3184528471224,12.127445414428935,2.4847145,13.68567,6.6417103,2
5291017731463614208,118.44514924500947,-59.97636518786484,2.2946748281608387,0.26449242,-4.264680902649995,0.33235943,11.168526360561934,0.35134068,19.58797,21.021149,18.288483,2.732666,300.24805,7.60327,67.85171,1.0366669,0.6968892,0,435.791593531137,11.391576491634444,2.732666,12.099971,7.7261186,2
5291030341486158592,119.14239565944108,-60.31735477155979,2.384242057283076,0.06558319,-4.892741936014444,0.07941013,11.306484695729004,0.07902982,17.5831,18.944561,16.443563,2.5009975,959.26044,46.625366,267.84488,0.950756,0.0,0,419.42050176714594,9.469851087869545,2.5009975,7.9645224,2.8774028,2
5291030788162788224,119.19922712010892,-60.264556601108005,1.5892489862985673,0.40129572,-2.040497221280422,0.4594661,12.51390172492133,0.46496803,20.038433,21.05813,18.883041,2.175089,275.66248,9.792658,30.565825,1.069296,1.4858153,0,629.2280244450841,11.044392790391823,2.175089,5.8973265,13.017761,0
5291034430295240320,119.40983862691188,-60.10295810691853,2.52108673879283,0.25274265,-4.587217964798454,0.3210485,11.58977700747507,0.2986547,19.518372,21.142815,18.220037,2.9227772,388.29437,8.963961,76.741844,0.93692935,0.0,0,396.6543414047028,11.526310521899116,2.9227772,14.483022,3.3462007,2
5291038592117375360,119.86910340813893,-60.02973180455675,2.3857865106116054,0.2790597,-4.71903216004332,0.28230783,11.41683314011654,0.35408399,19.180962,19.04046,17.199137,1.8413239,346.9669,17.632412,91.9618,0.99540055,0.90595555,0,419.148987368382,11.069119502516529,1.8413239,10.63625,3.9316998,2
5291045223551521408,119.1430633190456,-60.11451528979964,2.348705153684532,0.2638022,-4.095361021764478,0.33565494,10.189368948051428,0.3273157,19.698917,21.32487,18.426105,2.8987637,313.01343,9.708985,66.42965,1.0068989,0.7239923,0,425.7665115739409,11.55305989263182,2.8987637,13.244912,6.760457,2
